date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1989-03-18,,Leverkusen,3–1,Hannover 96,,,3.0,1.0
1989-03-18,,Bochum,1–0,Nürnberg,,,1.0,0.0
1989-03-18,,Kaiserslautern,1–1,Bayern Munich,,,1.0,1.0
1989-03-19,,Stuttgart,2–1,St Pauli,,,2.0,1.0
,,,,,,,,
1989-03-21,,Bochum,2–1,S'gart Kickers,,,2.0,1.0
,,,,,,,,
1989-03-23,,St Pauli,1–2,Hamburger SV,,,1.0,2.0
1989-03-25,,Hannover 96,0–1,M'Gladbach,,,0.0,1.0
1989-03-25,,Dortmund,3–1,Werder Bremen,,,3.0,1.0
1989-03-25,,Uerdingen,0–3,Karlsruher,,,0.0,3.0
1989-03-25,,S'gart Kickers,2–0,Kaiserslautern,,,2.0,0.0
1989-03-25,,Mannheim,2–2,Bochum,,,2.0,2.0
1989-03-25,,Köln,3–0,Stuttgart,,,3.0,0.0
1989-03-25,,Nürnberg,1–1,Eint Frankfurt,,,1.0,1.0
1989-03-25,,Bayern Munich,2–0,Leverkusen,,,2.0,0.0
,,,,,,,,
1989-03-31,,Eint Frankfurt,1–1,Bochum,,,1.0,1.0
1989-04-01,,Hamburger SV,0–1,Köln,,,0.0,1.0
1989-04-01,,Karlsruher,1–1,Nürnberg,,,1.0,1.0
1989-04-01,,Leverkusen,1–3,S'gart Kickers,,,1.0,3.0
1989-04-01,,Stuttgart,2–2,Uerdingen,,,2.0,2.0
1989-04-01,,Dortmund,1–2,Mannheim,,,1.0,2.0
1989-04-01,,Kaiserslautern,1–0,St Pauli,,,1.0,0.0
1989-04-01,,Werder Bremen,1–0,Hannover 96,,,1.0,0.0
1989-04-01,,M'Gladbach,2–1,Bayern Munich,,,2.0,1.0
,,,,,,,,
1989-04-07,,St Pauli,2–0,Leverkusen,,,2.0,0.0
1989-04-07,,Hannover 96,1–5,Dortmund,,,1.0,5.0
1989-04-08,,Nürnberg,1–0,Stuttgart,,,1.0,0.0
1989-04-08,,Uerdingen,0–2,Hamburger SV,,,0.0,2.0
1989-04-08,,S'gart Kickers,3–0,M'Gladbach,,,3.0,0.0
1989-04-08,,Bayern Munich,0–0,Werder Bremen,,,0.0,0.0
