date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
2001-08-18,,Schalke 04,3–3,Leverkusen,,,3.0,3.0
2001-08-18,,Wolfsburg,1–1,Freiburg,,,1.0,1.0
2001-08-18,,Hansa Rostock,0–2,Dortmund,,,0.0,2.0
2001-08-18,,Nürnberg,2–4,Stuttgart,,,2.0,4.0
2001-08-19,,Köln,0–2,M'Gladbach,,,0.0,2.0
2001-08-19,,Hertha BSC,2–3,Energie Cottbus,,,2.0,3.0
,,,,,,,,
2001-08-21,,Schalke 04,3–1,Hansa Rostock,,,3.0,1.0
,,,,,,,,
2001-09-08,,Stuttgart,0–0,Hertha BSC,,,0.0,0.0
2001-09-08,,Dortmund,0–2,Bayern Munich,,,0.0,2.0
2001-09-08,,1860 Munich,1–0,Nürnberg,,,1.0,0.0
2001-09-08,,Freiburg,1–1,Hansa Rostock,,,1.0,1.0
2001-09-08,,St. Pauli,0–2,Schalke 04,,,0.0,2.0
2001-09-08,,M'Gladbach,0–1,Leverkusen,,,0.0,1.0
2001-09-08,,Energie Cottbus,3–3,Wolfsburg,,,3.0,3.0
2001-09-09,,Köln,2–1,Hamburger SV,,,2.0,1.0
2001-09-09,,Kaiserslautern,2–1,Werder Bremen,,,2.0,1.0
,,,,,,,,
2001-09-15,,Hamburger SV,3–3,M'Gladbach,,,3.0,3.0
2001-09-15,,Werder Bremen,1–1,Köln,,,1.0,1.0
2001-09-15,,Wolfsburg,0–2,Stuttgart,,,0.0,2.0
2001-09-15,,Nürnberg,0–2,Kaiserslautern,,,0.0,2.0
2001-09-15,,Bayern Munich,1–0,Freiburg,,,1.0,0.0
2001-09-15,,Schalke 04,1–0,Dortmund,,,1.0,0.0
2001-09-15,,Leverkusen,3–1,St. Pauli,,,3.0,1.0
2001-09-16,,Hertha BSC,2–1,1860 Munich,,,2.0,1.0
2001-09-16,,Hansa Rostock,0–0,Energie Cottbus,,,0.0,0.0
,,,,,,,,
2001-09-22,,Energie Cottbus,0–3,Bayern Munich,,,0.0,3.0
2001-09-22,,Stuttgart,2–1,Hansa Rostock,,,2.0,1.0
2001-09-22,,Freiburg,2–0,Schalke 04,,,2.0,0.0
2001-09-22,,Köln,1–2,Nürnberg,,,1.0,2.0
2001-09-22,,Kaiserslautern,4–1,Hertha BSC,,,4.0,1.0
2001-09-22,,Dortmund,1–1,Leverkusen,,,1.0,1.0
2001-09-22,,Hamburger SV,0–4,Werder Bremen,,,0.0,4.0
2001-09-23,,M'Gladbach,2–2,St. Pauli,,,2.0,2.0
2001-09-23,,1860 Munich,2–1,Wolfsburg,,,2.0,1.0
,,,,,,,,
2001-09-29,,Hertha BSC,3–0,Köln,,,3.0,0.0
2001-09-29,,St. Pauli,1–2,Dortmund,,,1.0,2.0
2001-09-29,,Wolfsburg,2–0,Kaiserslautern,,,2.0,0.0
2001-09-29,,Werder Bremen,1–0,M'Gladbach,,,1.0,0.0
2001-09-29,,Nürnberg,0–0,Hamburger SV,,,0.0,0.0
2001-09-29,,Hansa Rostock,2–2,1860 Munich,,,2.0,2.0
2001-09-29,,Schalke 04,2–0,Energie Cottbus,,,2.0,0.0
2001-09-30,,Bayern Munich,4–0,Stuttgart,,,4.0,0.0
2001-09-30,,Leverkusen,4–1,Freiburg,,,4.0,1.0
,,,,,,,,
2001-10-13,,Kaiserslautern,3–1,Hansa Rostock,,,3.0,1.0
2001-10-13,,M'Gladbach,1–2,Dortmund,,,1.0,2.0
2001-10-13,,1860 Munich,1–5,Bayern Munich,,,1.0,5.0
2001-10-13,,Stuttgart,3–0,Schalke 04,,,3.0,0.0
2001-10-13,,Freiburg,2–2,St. Pauli,,,2.0,2.0
2001-10-13,,Hamburger SV,4–0,Hertha BSC,,,4.0,0.0
2001-10-13,,Energie Cottbus,2–3,Leverkusen,,,2.0,3.0
2001-10-14,,Köln,0–4,Wolfsburg,,,0.0,4.0
2001-10-14,,Werder Bremen,3–0,Nürnberg,,,3.0,0.0
,,,,,,,,
2001-10-20,,Bayern Munich,4–1,Kaiserslautern,,,4.0,1.0
2001-10-20,,Hertha BSC,3–1,Werder Bremen,,,3.0,1.0
2001-10-20,,Schalke 04,1–0,1860 Munich,,,1.0,0.0
2001-10-20,,Hansa Rostock,3–0,Köln,,,3.0,0.0
2001-10-20,,St. Pauli,4–0,Energie Cottbus,,,4.0,0.0
2001-10-20,,Nürnberg,1–2,M'Gladbach,,,1.0,2.0
2001-10-20,,Leverkusen,4–1,Stuttgart,,,4.0,1.0
2001-10-21,,Dortmund,0–2,Freiburg,,,0.0,2.0
2001-10-21,,Wolfsburg,0–1,Hamburger SV,,,0.0,1.0
,,,,,,,,
2001-10-27,,Energie Cottbus,0–2,Dortmund,,,0.0,2.0
2001-10-27,,Stuttgart,2–0,St. Pauli,,,2.0,0.0
2001-10-27,,M'Gladbach,2–2,Freiburg,,,2.0,2.0
2001-10-27,,Kaiserslautern,0–0,Schalke 04,,,0.0,0.0
2001-10-27,,Werder Bremen,1–0,Wolfsburg,,,1.0,0.0
2001-10-27,,Köln,0–2,Bayern Munich,,,0.0,2.0
2001-10-27,,1860 Munich,1–4,Leverkusen,,,1.0,4.0
2001-10-28,,Nürnberg,1–3,Hertha BSC,,,1.0,3.0
2001-10-28,,Hamburger SV,0–1,Hansa Rostock,,,0.0,1.0
,,,,,,,,
2001-11-03,,Bayern Munich,3–0,Hamburger SV,,,3.0,0.0
2001-11-03,,Wolfsburg,5–0,Nürnberg,,,5.0,0.0
2001-11-03,,Schalke 04,3–1,Köln,,,3.0,1.0
2001-11-03,,St. Pauli,0–3,1860 Munich,,,0.0,3.0
2001-11-03,,Dortmund,1–0,Stuttgart,,,1.0,0.0
2001-11-03,,Leverkusen,2–1,Kaiserslautern,,,2.0,1.0
2001-11-03,,Hansa Rostock,0–1,Werder Bremen,,,0.0,1.0
2001-11-04,,Freiburg,3–1,Energie Cottbus,,,3.0,1.0
2001-11-04,,Hertha BSC,3–0,M'Gladbach,,,3.0,0.0
,,,,,,,,
2001-11-17,,1860 Munich,1–3,Dortmund,,,1.0,3.0
2001-11-17,,Köln,1–2,Leverkusen,,,1.0,2.0
2001-11-17,,Stuttgart,3–0,Freiburg,,,3.0,0.0
2001-11-17,,Hamburger SV,0–0,Schalke 04,,,0.0,0.0
2001-11-17,,Kaiserslautern,5–1,St. Pauli,,,5.0,1.0
2001-11-17,,Hertha BSC,2–0,Wolfsburg,,,2.0,0.0
2001-11-17,,Werder Bremen,1–0,Bayern Munich,,,1.0,0.0
2001-11-18,,Nürnberg,2–0,Hansa Rostock,,,2.0,0.0
2001-11-18,,M'Gladbach,0–0,Energie Cottbus,,,0.0,0.0
,,,,,,,,
2001-11-24,,St. Pauli,1–2,Köln,,,1.0,2.0
2001-11-24,,Wolfsburg,3–1,M'Gladbach,,,3.0,1.0
2001-11-24,,Bayern Munich,0–0,Nürnberg,,,0.0,0.0
2001-11-24,,Energie Cottbus,0–0,Stuttgart,,,0.0,0.0
2001-11-24,,Hansa Rostock,1–1,Hertha BSC,,,1.0,1.0
2001-11-24,,Leverkusen,4–1,Hamburger SV,,,4.0,1.0
2001-11-24,,Schalke 04,1–4,Werder Bremen,,,1.0,4.0
2001-11-25,,Dortmund,3–0,Kaiserslautern,,,3.0,0.0
2001-11-25,,Freiburg,1–3,1860 Munich,,,1.0,3.0
,,,,,,,,
2001-12-01,,Kaiserslautern,3–0,Freiburg,,,3.0,0.0
2001-12-01,,Hansa Rostock,1–2,Wolfsburg,,,1.0,2.0
2001-12-01,,Köln,0–2,Dortmund,,,0.0,2.0
2001-12-01,,Stuttgart,1–1,M'Gladbach,,,1.0,1.0
2001-12-01,,Nürnberg,0–3,Schalke 04,,,0.0,3.0
2001-12-01,,1860 Munich,1–0,Energie Cottbus,,,1.0,0.0
2001-12-01,,Werder Bremen,2–1,Leverkusen,,,2.0,1.0
2001-12-02,,Hamburger SV,4–3,St. Pauli,,,4.0,3.0
2001-12-02,,Hertha BSC,2–1,Bayern Munich,,,2.0,1.0
,,,,,,,,
2001-12-08,,St. Pauli,0–3,Werder Bremen,,,0.0,3.0
2001-12-08,,Bayern Munich,3–3,Wolfsburg,,,3.0,3.0
2001-12-08,,Leverkusen,4–2,Nürnberg,,,4.0,2.0
2001-12-08,,M'Gladbach,0–2,Hansa Rostock,,,0.0,2.0
2001-12-08,,Energie Cottbus,0–2,Kaiserslautern,,,0.0,2.0
2001-12-08,,Dortmund,1–0,Hamburger SV,,,1.0,0.0
2001-12-08,,Stuttgart,0–1,1860 Munich,,,0.0,1.0
2001-12-09,,Freiburg,0–0,Köln,,,0.0,0.0
2001-12-09,,Schalke 04,0–0,Hertha BSC,,,0.0,0.0
,,,,,,,,
2001-12-15,,Hansa Rostock,1–0,Bayern Munich,,,1.0,0.0
2001-12-15,,Hertha BSC,2–1,Leverkusen,,,2.0,1.0
2001-12-15,,Werder Bremen,1–1,Dortmund,,,1.0,1.0
2001-12-15,,Nürnberg,0–0,St. Pauli,,,0.0,0.0
2001-12-15,,Köln,0–0,Energie Cottbus,,,0.0,0.0
2001-12-15,,1860 Munich,2–2,M'Gladbach,,,2.0,2.0
2001-12-15,,Hamburger SV,1–1,Freiburg,,,1.0,1.0
2001-12-16,,Wolfsburg,3–1,Schalke 04,,,3.0,1.0
2001-12-16,,Kaiserslautern,2–2,Stuttgart,,,2.0,2.0
,,,,,,,,
2001-12-18,,Nürnberg,2–2,Dortmund,,,2.0,2.0
2001-12-18,,Hertha BSC,2–2,St. Pauli,,,2.0,2.0
2001-12-18,,Hamburger SV,5–2,Energie Cottbus,,,5.0,2.0
2001-12-18,,Werder Bremen,3–2,Freiburg,,,3.0,2.0
2001-12-18,,Bayern Munich,0–0,M'Gladbach,,,0.0,0.0
2001-12-19,,Hansa Rostock,1–3,Schalke 04,,,1.0,3.0
2001-12-19,,Köln,0–0,Stuttgart,,,0.0,0.0
2001-12-19,,Wolfsburg,3–1,Leverkusen,,,3.0,1.0
2001-12-19,,Kaiserslautern,1–3,1860 Munich,,,1.0,3.0
,,,,,,,,
2002-01-26,,Freiburg,2–0,Nürnberg,,,2.0,0.0
2002-01-26,,M'Gladbach,0–2,Kaiserslautern,,,0.0,2.0
2002-01-26,,Schalke 04,5–1,Bayern Munich,,,5.0,1.0
2002-01-26,,St. Pauli,3–1,Wolfsburg,,,3.0,1.0
2002-01-26,,Leverkusen,2–0,Hansa Rostock,,,2.0,0.0
2002-01-26,,1860 Munich,3–0,Köln,,,3.0,0.0
2002-01-26,,Stuttgart,3–0,Hamburger SV,,,3.0,0.0
2002-01-27,,Dortmund,3–1,Hertha BSC,,,3.0,1.0
2002-01-27,,Energie Cottbus,2–1,Werder Bremen,,,2.0,1.0
,,,,,,,,
2002-02-02,,Köln,0–1,Kaiserslautern,,,0.0,1.0
2002-02-02,,Hertha BSC,1–1,Freiburg,,,1.0,1.0
2002-02-02,,Schalke 04,2–0,M'Gladbach,,,2.0,0.0
2002-02-02,,Hamburger SV,2–1,1860 Munich,,,2.0,1.0
2002-02-02,,Werder Bremen,1–2,Stuttgart,,,1.0,2.0
2002-02-02,,Wolfsburg,1–1,Dortmund,,,1.0,1.0
2002-02-02,,Nürnberg,2–0,Energie Cottbus,,,2.0,0.0
2002-02-03,,Hansa Rostock,1–0,St. Pauli,,,1.0,0.0
2002-02-03,,Bayern Munich,2–0,Leverkusen,,,2.0,0.0
,,,,,,,,
2002-02-05,,1860 Munich,3–1,Werder Bremen,,,3.0,1.0
2002-02-05,,M'Gladbach,4–0,Köln,,,4.0,0.0
2002-02-05,,Freiburg,0–0,Wolfsburg,,,0.0,0.0
2002-02-05,,Energie Cottbus,1–0,Hertha BSC,,,1.0,0.0
2002-02-05,,Stuttgart,2–3,Nürnberg,,,2.0,3.0
2002-02-06,,Leverkusen,0–1,Schalke 04,,,0.0,1.0
2002-02-06,,Kaiserslautern,2–2,Hamburger SV,,,2.0,2.0
2002-02-06,,Dortmund,2–0,Hansa Rostock,,,2.0,0.0
2002-02-06,,St. Pauli,2–1,Bayern Munich,,,2.0,1.0
,,,,,,,,
2002-02-09,,Hertha BSC,2–0,Stuttgart,,,2.0,0.0
2002-02-09,,Wolfsburg,2–1,Energie Cottbus,,,2.0,1.0
2002-02-09,,Werder Bremen,1–0,Kaiserslautern,,,1.0,0.0
2002-02-09,,Bayern Munich,1–1,Dortmund,,,1.0,1.0
2002-02-09,,Schalke 04,4–0,St. Pauli,,,4.0,0.0
2002-02-09,,Leverkusen,5–0,M'Gladbach,,,5.0,0.0
2002-02-09,,Hansa Rostock,4–0,Freiburg,,,4.0,0.0
2002-02-10,,Nürnberg,2–1,1860 Munich,,,2.0,1.0
2002-02-10,,Hamburger SV,4–0,Köln,,,4.0,0.0
,,,,,,,,
2002-02-16,,Dortmund,1–1,Schalke 04,,,1.0,1.0
2002-02-16,,Freiburg,0–2,Bayern Munich,,,0.0,2.0
2002-02-16,,M'Gladbach,2–1,Hamburger SV,,,2.0,1.0
2002-02-16,,St. Pauli,2–2,Leverkusen,,,2.0,2.0
2002-02-16,,Kaiserslautern,2–1,Nürnberg,,,2.0,1.0
2002-02-16,,1860 Munich,0–3,Hertha BSC,,,0.0,3.0
2002-02-16,,Stuttgart,2–1,Wolfsburg,,,2.0,1.0
2002-02-17,,Köln,0–0,Werder Bremen,,,0.0,0.0
2002-02-17,,Energie Cottbus,3–0,Hansa Rostock,,,3.0,0.0
,,,,,,,,
2002-02-23,,Bayern Munich,6–0,Energie Cottbus,,,6.0,0.0
2002-02-23,,Hertha BSC,5–1,Kaiserslautern,,,5.0,1.0
2002-02-23,,Nürnberg,2–0,Köln,,,2.0,0.0
2002-02-23,,Schalke 04,3–0,Freiburg,,,3.0,0.0
2002-02-23,,Hansa Rostock,1–1,Stuttgart,,,1.0,1.0
2002-02-23,,St. Pauli,1–1,M'Gladbach,,,1.0,1.0
2002-02-23,,Wolfsburg,1–3,1860 Munich,,,1.0,3.0
2002-02-24,,Leverkusen,4–0,Dortmund,,,4.0,0.0
2002-02-24,,Werder Bremen,0–1,Hamburger SV,,,0.0,1.0
,,,,,,,,
2002-03-02,,M'Gladbach,1–0,Werder Bremen,,,1.0,0.0
2002-03-02,,Hamburger SV,3–1,Nürnberg,,,3.0,1.0
2002-03-02,,Köln,1–1,Hertha BSC,,,1.0,1.0
2002-03-02,,Energie Cottbus,2–0,Schalke 04,,,2.0,0.0
2002-03-02,,1860 Munich,2–0,Hansa Rostock,,,2.0,0.0
2002-03-02,,Stuttgart,0–2,Bayern Munich,,,0.0,2.0
2002-03-02,,Freiburg,2–2,Leverkusen,,,2.0,2.0
2002-03-03,,Kaiserslautern,3–2,Wolfsburg,,,3.0,2.0
2002-03-03,,Dortmund,1–1,St. Pauli,,,1.0,1.0
,,,,,,,,
2002-03-09,,Hansa Rostock,2–1,Kaiserslautern,,,2.0,1.0
2002-03-09,,Wolfsburg,5–1,Köln,,,5.0,1.0
2002-03-09,,Nürnberg,0–4,Werder Bremen,,,0.0,4.0
2002-03-09,,Dortmund,3–1,M'Gladbach,,,3.0,1.0
2002-03-09,,Bayern Munich,2–1,1860 Munich,,,2.0,1.0
2002-03-09,,St. Pauli,1–0,Freiburg,,,1.0,0.0
2002-03-09,,Leverkusen,2–0,Energie Cottbus,,,2.0,0.0
2002-03-10,,Hertha BSC,6–0,Hamburger SV,,,6.0,0.0
2002-03-10,,Schalke 04,2–1,Stuttgart,,,2.0,1.0
,,,,,,,,
2002-03-16,,Werder Bremen,0–3,Hertha BSC,,,0.0,3.0
2002-03-16,,Stuttgart,0–2,Leverkusen,,,0.0,2.0
2002-03-16,,Hamburger SV,1–1,Wolfsburg,,,1.0,1.0
2002-03-16,,Köln,4–2,Hansa Rostock,,,4.0,2.0
2002-03-16,,Energie Cottbus,4–0,St. Pauli,,,4.0,0.0
2002-03-16,,M'Gladbach,1–0,Nürnberg,,,1.0,0.0
2002-03-16,,Kaiserslautern,0–0,Bayern Munich,,,0.0,0.0
2002-03-17,,1860 Munich,1–2,Schalke 04,,,1.0,2.0
2002-03-17,,Freiburg,1–5,Dortmund,,,1.0,5.0
,,,,,,,,
2002-03-23,,Hansa Rostock,1–1,Hamburger SV,,,1.0,1.0
2002-03-23,,Bayern Munich,3–0,Köln,,,3.0,0.0
2002-03-23,,Freiburg,0–1,M'Gladbach,,,0.0,1.0
2002-03-23,,Hertha BSC,2–0,Nürnberg,,,2.0,0.0
2002-03-23,,Leverkusen,4–0,1860 Munich,,,4.0,0.0
2002-03-23,,Schalke 04,3–0,Kaiserslautern,,,3.0,0.0
2002-03-23,,St. Pauli,1–2,Stuttgart,,,1.0,2.0
2002-03-24,,Wolfsburg,2–0,Werder Bremen,,,2.0,0.0
2002-03-24,,Dortmund,3–0,Energie Cottbus,,,3.0,0.0
,,,,,,,,
2002-03-30,,M'Gladbach,3–1,Hertha BSC,,,3.0,1.0
2002-03-30,,Energie Cottbus,2–0,Freiburg,,,2.0,0.0
2002-03-30,,1860 Munich,4–2,St. Pauli,,,4.0,2.0
2002-03-30,,Nürnberg,3–0,Wolfsburg,,,3.0,0.0
2002-03-30,,Kaiserslautern,2–4,Leverkusen,,,2.0,4.0
2002-03-30,,Hamburger SV,0–0,Bayern Munich,,,0.0,0.0
2002-03-30,,Stuttgart,3–2,Dortmund,,,3.0,2.0
2002-03-31,,Köln,1–1,Schalke 04,,,1.0,1.0
2002-03-31,,Werder Bremen,4–3,Hansa Rostock,,,4.0,3.0
,,,,,,,,
2002-04-06,,Schalke 04,2–0,Hamburger SV,,,2.0,0.0
2002-04-06,,Hansa Rostock,1–0,Nürnberg,,,1.0,0.0
2002-04-06,,Wolfsburg,1–3,Hertha BSC,,,1.0,3.0
2002-04-06,,Leverkusen,2–0,Köln,,,2.0,0.0
2002-04-06,,Energie Cottbus,3–3,M'Gladbach,,,3.0,3.0
2002-04-06,,Bayern Munich,2–2,Werder Bremen,,,2.0,2.0
2002-04-06,,St. Pauli,1–1,Kaiserslautern,,,1.0,1.0
2002-04-07,,Dortmund,2–1,1860 Munich,,,2.0,1.0
2002-04-07,,Freiburg,0–2,Stuttgart,,,0.0,2.0
,,,,,,,,
2002-04-13,,M'Gladbach,0–2,Wolfsburg,,,0.0,2.0
2002-04-13,,Hamburger SV,1–1,Leverkusen,,,1.0,1.0
2002-04-13,,1860 Munich,5–2,Freiburg,,,5.0,2.0
2002-04-13,,Köln,2–1,St. Pauli,,,2.0,1.0
2002-04-13,,Hertha BSC,1–0,Hansa Rostock,,,1.0,0.0
2002-04-13,,Nürnberg,1–2,Bayern Munich,,,1.0,2.0
2002-04-13,,Werder Bremen,3–0,Schalke 04,,,3.0,0.0
2002-04-14,,Kaiserslautern,1–0,Dortmund,,,1.0,0.0
2002-04-14,,Stuttgart,0–0,Energie Cottbus,,,0.0,0.0
,,,,,,,,
2002-04-19,,St. Pauli,0–4,Hamburger SV,,,0.0,4.0
2002-04-20,,Schalke 04,2–1,Nürnberg,,,2.0,1.0
2002-04-20,,Leverkusen,1–2,Werder Bremen,,,1.0,2.0
2002-04-20,,Energie Cottbus,1–1,1860 Munich,,,1.0,1.0
2002-04-20,,Dortmund,2–1,Köln,,,2.0,1.0
2002-04-20,,Wolfsburg,4–0,Hansa Rostock,,,4.0,0.0
2002-04-20,,Bayern Munich,3–0,Hertha BSC,,,3.0,0.0
2002-04-21,,M'Gladbach,2–2,Stuttgart,,,2.0,2.0
2002-04-21,,Freiburg,3–1,Kaiserslautern,,,3.0,1.0
,,,,,,,,
2002-04-27,,Köln,2–0,Freiburg,,,2.0,0.0
2002-04-27,,Hamburger SV,3–4,Dortmund,,,3.0,4.0
2002-04-27,,Nürnberg,1–0,Leverkusen,,,1.0,0.0
2002-04-27,,Werder Bremen,3–2,St. Pauli,,,3.0,2.0
2002-04-27,,Hansa Rostock,1–1,M'Gladbach,,,1.0,1.0
2002-04-27,,Wolfsburg,0–1,Bayern Munich,,,0.0,1.0
2002-04-27,,Kaiserslautern,4–0,Energie Cottbus,,,4.0,0.0
2002-04-27,,1860 Munich,3–3,Stuttgart,,,3.0,3.0
2002-04-27,,Hertha BSC,2–0,Schalke 04,,,2.0,0.0
,,,,,,,,
2002-05-04,,St. Pauli,2–3,Nürnberg,,,2.0,3.0
2002-05-04,,Dortmund,2–1,Werder Bremen,,,2.0,1.0
2002-05-04,,M'Gladbach,2–4,1860 Munich,,,2.0,4.0
2002-05-04,,Freiburg,4–3,Hamburger SV,,,4.0,3.0
2002-05-04,,Bayern Munich,3–2,Hansa Rostock,,,3.0,2.0
2002-05-04,,Schalke 04,1–2,Wolfsburg,,,1.0,2.0
2002-05-04,,Stuttgart,4–3,Kaiserslautern,,,4.0,3.0
2002-05-04,,Leverkusen,2–1,Hertha BSC,,,2.0,1.0
2002-05-04,,Energie Cottbus,2–3,Köln,,,2.0,3.0
2002-08-09,,Dortmund,2–2,Hertha BSC,,,2.0,2.0
2002-08-10,,Nürnberg,1–3,Bochum,,,1.0,3.0
2002-08-10,,M'Gladbach,0–0,Bayern Munich,,,0.0,0.0
2002-08-10,,Schalke 04,1–0,Wolfsburg,,,1.0,0.0
2002-08-10,,Stuttgart,1–1,Kaiserslautern,,,1.0,1.0
2002-08-10,,Energie Cottbus,1–1,Leverkusen,,,1.0,1.0
2002-08-11,,Hamburger SV,2–1,Hannover 96,,,2.0,1.0
2002-08-11,,Arminia,3–0,Werder Bremen,,,3.0,0.0
2002-08-14,,1860 Munich,0–2,Hansa Rostock,,,0.0,2.0
,,,,,,,,
2002-08-17,,Bayern Munich,6–2,Arminia,,,6.0,2.0
2002-08-17,,Kaiserslautern,1–3,Schalke 04,,,1.0,3.0
2002-08-17,,Leverkusen,1–1,Dortmund,,,1.0,1.0
2002-08-17,,Hertha BSC,1–1,Stuttgart,,,1.0,1.0
2002-08-17,,Hannover 96,1–3,1860 Munich,,,1.0,3.0
2002-08-17,,Bochum,5–0,Energie Cottbus,,,5.0,0.0
2002-08-17,,Hansa Rostock,2–0,Nürnberg,,,2.0,0.0
2002-08-18,,Werder Bremen,2–1,Hamburger SV,,,2.0,1.0
2002-08-18,,Wolfsburg,1–0,M'Gladbach,,,1.0,0.0
,,,,,,,,
2002-08-24,,Dortmund,3–1,Stuttgart,,,3.0,1.0
2002-08-24,,Energie Cottbus,0–4,Hansa Rostock,,,0.0,4.0
2002-08-24,,Arminia,1–0,Wolfsburg,,,1.0,0.0
2002-08-24,,Hamburger SV,0–3,Bayern Munich,,,0.0,3.0
2002-08-24,,M'Gladbach,3–0,Kaiserslautern,,,3.0,0.0
2002-08-24,,Leverkusen,2–4,Bochum,,,2.0,4.0
2002-08-24,,1860 Munich,3–0,Werder Bremen,,,3.0,0.0
2002-08-25,,Schalke 04,0–0,Hertha BSC,,,0.0,0.0
2002-08-25,,Nürnberg,3–1,Hannover 96,,,3.0,1.0
,,,,,,,,
2002-09-10,,Bochum,0–0,Dortmund,,,0.0,0.0
2002-09-10,,Bayern Munich,3–1,1860 Munich,,,3.0,1.0
2002-09-10,,Werder Bremen,4–1,Nürnberg,,,4.0,1.0
2002-09-10,,Hertha BSC,1–2,M'Gladbach,,,1.0,2.0
2002-09-11,,Wolfsburg,2–1,Hamburger SV,,,2.0,1.0
2002-09-11,,Stuttgart,1–1,Schalke 04,,,1.0,1.0
2002-09-11,,Kaiserslautern,1–1,Arminia,,,1.0,1.0
2002-09-11,,Hannover 96,1–3,Energie Cottbus,,,1.0,3.0
2002-09-11,,Hansa Rostock,1–3,Leverkusen,,,1.0,3.0
,,,,,,,,
2002-09-14,,Arminia,0–1,Hertha BSC,,,0.0,1.0
2002-09-14,,1860 Munich,2–2,Wolfsburg,,,2.0,2.0
2002-09-14,,M'Gladbach,1–1,Stuttgart,,,1.0,1.0
2002-09-14,,Dortmund,1–1,Schalke 04,,,1.0,1.0
2002-09-14,,Nürnberg,1–2,Bayern Munich,,,1.0,2.0
2002-09-14,,Energie Cottbus,0–1,Werder Bremen,,,0.0,1.0
2002-09-14,,Leverkusen,1–3,Hannover 96,,,1.0,3.0
2002-09-15,,Hamburger SV,2–0,Kaiserslautern,,,2.0,0.0
2002-09-15,,Bochum,0–1,Hansa Rostock,,,0.0,1.0
,,,,,,,,
2002-09-21,,Wolfsburg,0–2,Nürnberg,,,0.0,2.0
2002-09-21,,Kaiserslautern,0–0,1860 Munich,,,0.0,0.0
2002-09-21,,Bayern Munich,3–1,Energie Cottbus,,,3.0,1.0
2002-09-21,,Hannover 96,2–2,Bochum,,,2.0,2.0
2002-09-21,,Hansa Rostock,0–1,Dortmund,,,0.0,1.0
2002-09-21,,Hertha BSC,2–0,Hamburger SV,,,2.0,0.0
2002-09-21,,Werder Bremen,3–2,Leverkusen,,,3.0,2.0
2002-09-22,,Schalke 04,2–1,M'Gladbach,,,2.0,1.0
2002-09-22,,Stuttgart,3–0,Arminia,,,3.0,0.0
,,,,,,,,
2002-09-28,,Energie Cottbus,0–1,Wolfsburg,,,0.0,1.0
2002-09-28,,Arminia,2–1,Schalke 04,,,2.0,1.0
2002-09-28,,Hamburger SV,3–2,Stuttgart,,,3.0,2.0
2002-09-28,,Leverkusen,2–1,Bayern Munich,,,2.0,1.0
2002-09-28,,1860 Munich,1–0,Hertha BSC,,,1.0,0.0
2002-09-28,,Hansa Rostock,1–2,Hannover 96,,,1.0,2.0
2002-09-28,,Dortmund,1–0,M'Gladbach,,,1.0,0.0
2002-09-29,,Bochum,1–4,Werder Bremen,,,1.0,4.0
2002-09-29,,Nürnberg,1–0,Kaiserslautern,,,1.0,0.0
,,,,,,,,
2002-10-05,,Bayern Munich,4–1,Bochum,,,4.0,1.0
2002-10-05,,Hertha BSC,2–1,Nürnberg,,,2.0,1.0
2002-10-05,,Schalke 04,3–0,Hamburger SV,,,3.0,0.0
2002-10-05,,Hannover 96,0–3,Dortmund,,,0.0,3.0
2002-10-05,,Wolfsburg,2–0,Leverkusen,,,2.0,0.0
2002-10-05,,Kaiserslautern,4–0,Energie Cottbus,,,4.0,0.0
2002-10-05,,M'Gladbach,3–0,Arminia,,,3.0,0.0
2002-10-06,,Werder Bremen,0–0,Hansa Rostock,,,0.0,0.0
2002-10-06,,Stuttgart,4–1,1860 Munich,,,4.0,1.0
,,,,,,,,
2002-10-19,,Leverkusen,1–0,Kaiserslautern,,,1.0,0.0
2002-10-19,,Dortmund,0–0,Arminia,,,0.0,0.0
2002-10-19,,Hannover 96,4–4,Werder Bremen,,,4.0,4.0
2002-10-19,,1860 Munich,3–0,Schalke 04,,,3.0,0.0
2002-10-19,,Energie Cottbus,0–2,Hertha BSC,,,0.0,2.0
2002-10-19,,Hansa Rostock,0–1,Bayern Munich,,,0.0,1.0
2002-10-19,,Hamburger SV,1–0,M'Gladbach,,,1.0,0.0
2002-10-20,,Bochum,4–2,Wolfsburg,,,4.0,2.0
2002-10-20,,Nürnberg,1–2,Stuttgart,,,1.0,2.0
,,,,,,,,
2002-10-26,,Hertha BSC,1–1,Leverkusen,,,1.0,1.0
2002-10-26,,Bayern Munich,3–3,Hannover 96,,,3.0,3.0
2002-10-26,,Arminia,2–1,Hamburger SV,,,2.0,1.0
2002-10-26,,M'Gladbach,0–1,1860 Munich,,,0.0,1.0
2002-10-26,,Stuttgart,0–0,Energie Cottbus,,,0.0,0.0
2002-10-26,,Werder Bremen,1–4,Dortmund,,,1.0,4.0
2002-10-26,,Schalke 04,1–1,Nürnberg,,,1.0,1.0
2002-10-27,,Wolfsburg,1–0,Hansa Rostock,,,1.0,0.0
,,,,,,,,
2002-11-02,,1860 Munich,3–1,Arminia,,,3.0,1.0
2002-11-02,,Dortmund,1–1,Hamburger SV,,,1.0,1.0
2002-11-02,,Nürnberg,2–1,M'Gladbach,,,2.0,1.0
